,marvel_comic_character_name,comic_appearance 1,comic_appearance 2,comic_appearance 3,comic_appearance 4,comic_appearance 5,comic_appearance 6,comic_appearance 7,comic_appearance 8,comic_appearance 9,comic_appearance 10,comic_appearance 11,comic_appearance 12,comic_appearance 13,comic_appearance 14,comic_appearance 15,comic_appearance 16,comic_appearance 17,comic_appearance 18,comic_appearance 19,comic_appearance 20,comic_appearance 21,comic_appearance 22,comic_appearance 23,comic_appearance 24,comic_appearance 25,comic_appearance 26,comic_appearance 27,comic_appearance 28,comic_appearance 29,comic_appearance 30,comic_appearance 31,comic_appearance 32,comic_appearance 33,comic_appearance 34,comic_appearance 35
384,Emplate,Generation X (2017) #4,Generation X (2017) #8,Generation X (2017) #86,Generation X (2017) #87,Generation X Vol. 2: Survival of the Fittest (Trade Paperback),X-Men Legacy (2008) #228,X-Men Legacy (2008) #229,X-Men Legacy (2008) #230,X-Men: Prime (1995) #1,X-Men: The Complete Age of Apocalypse Epic Book 4 (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,
385,Enchantress (Amora),Alligator Loki Infinity Comic (2022) #8,Avengers (1996) #10,Avengers (1996) #11,Avengers: Prime (2010) #2,Avengers: Prime (2010) #1,Avengers: Prime (2010) #3,Avengers: Prime (2010) #4,Avengers: Prime (2010) #5,Captain Marvel (2019) #6,Captain Marvel (2019) #29,Defenders (1972) #108,Defenders (1972) #109,Doctor Strange, Sorcerer Supreme (1988) #12,Doctor Strange, Sorcerer Supreme (1988) #13,DOCTOR STRANGE, SORCERER SUPREME OMNIBUS VOL. 1 HC (Hardcover),Magneto (2014) #11,Marvel Fanfare (1982) #45,Thor (1966) #261,Thor (1966) #263,Thor (1966) #264,,,,,,,,,,,,
386,Enchantress (Sylvie Lushton),Age of Heroes (2010) #2,Marvel Fanfare (1982) #45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Ender Wiggin,Orson Scott Card's Speaker for the Dead (2010) #2,Orson Scott Card's Speaker for the Dead (2010) #3,Orson Scott Card's Speaker for the Dead (2010) #4,Orson Scott Card's Speaker for the Dead (2010) #5,Orson Scott Cards's Ender's Speaker for the Dead Premiere HC (Hardcover),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Energizer,Iron Man and Power Pack (2007) #1,Iron Man and Power Pack (2007) #2,Iron Man and Power Pack (2007) #3,Iron Man and Power Pack (2007) #4,Uncanny X-Men (1963) #195,X-Men and Power Pack (2005) #1,X-Men and Power Pack (2005) #2,X-Men and Power Pack (2005) #3,X-Men and Power Pack (2005) #4,X-Men and Power Pack: The Power of X (Digest),,,,,,,,,,,,,,,,,,,,,,,,,
389,Epoch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Erik the Red,Marvel Masterworks: The X-Men Vol. 5 (Hardcover),Uncanny X-Men Omnibus Vol. 1 (Hardcover),Uncanny X-Men (1963) #51,Uncanny X-Men (1963) #52,Uncanny X-Men (1963) #97,X-Men Legends (2021) #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Eternals,A.X.E.: Death to the Mutants (2022) #1,A.X.E.: Death to the Mutants (2022) #3,A.X.E.: Eternals (2022) #1,A.X.E.: Eve Of Judgment (2022) #1,A.X.E.: Judgment Day (Trade Paperback),A.X.E.: Judgment Day (2022) #1,A.X.E.: Judgment Day (2022) #6,A.X.E.: Judgment Day Companion (Trade Paperback),Avengers (1963) #246,Avengers (1963) #248,Eternals (2006) #1,Eternals (2021) #1,Eternals (1976) #1,Eternals (2021) #2,Eternals (2006) #2,Eternals (1976) #2,Eternals (2006) #2 (John Romita Jr. Variant),Eternals (2021) #3,Eternals (2006) #3,Eternals (1976) #3,,,,,,,,,,,,,,,
392,Eternity,Avengers: Infinity (2000) #4,Captain Marvel (2002) #5,Captain Marvel (2002) #6,Doctor Strange (1968) #180,Doctor Strange, Sorcerer Supreme (1988) #54,Doctor Strange (1974) #11,Doctor Strange (1974) #13,INFINITY CRUSADE VOL. 1 TPB (Trade Paperback),Marvel Universe: The End (2003) #5,Marvel Universe: The End (2003) #6,The Mighty Avengers (2007) #30,Thanos Vol. 3: Marvel Universe - The End (2003),Ultimates 2 (2016) #6,Ultimates 2 Vol. 1: Troubleshooters (Trade Paperback),Warlock and the Infinity Watch (1992) #11,Warlock and the Infinity Watch (1992) #15,Warlock and the Infinity Watch (1992) #17,Warlock Chronicles (1993) #2,Warlock Chronicles (1993) #3,Warlock Chronicles (1993) #6,,,,,,,,,,,,,,
393,Excalibur,Avengers Assemble (2012) #15,Clandestine (2008) #3,Excalibur (2004) #1,Excalibur (1988) #1,Excalibur (2019) #1,Excalibur (2004) #2,Excalibur (1988) #2,Excalibur (2004) #3,Excalibur (1988) #3,Excalibur (2004) #4,Excalibur (1988) #4,Excalibur (1988) #5,Excalibur (2004) #5,Excalibur (1988) #6,Excalibur (2004) #6,Excalibur (2004) #7,Excalibur (1988) #7,Excalibur (1988) #8,Excalibur (2004) #8,Excalibur (2004) #9,,,,,,,,,,,,,,,
394,Executioner (Skurge),Asgardians Of The Galaxy Vol. 1: The Infinity Armada (Trade Paperback),Chaos War: Chaos King (2010) #1,Doctor Strange, Sorcerer Supreme (1988) #12,Thor (1966) #440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
