,marvel_comic_character_name,comic_appearance 1,comic_appearance 2,comic_appearance 3,comic_appearance 4,comic_appearance 5,comic_appearance 6,comic_appearance 7,comic_appearance 8,comic_appearance 9,comic_appearance 10,comic_appearance 11,comic_appearance 12,comic_appearance 13,comic_appearance 14,comic_appearance 15,comic_appearance 16,comic_appearance 17,comic_appearance 18,comic_appearance 19,comic_appearance 20,comic_appearance 21,comic_appearance 22,comic_appearance 23,comic_appearance 24,comic_appearance 25,comic_appearance 26,comic_appearance 27,comic_appearance 28,comic_appearance 29,comic_appearance 30,comic_appearance 31,comic_appearance 32,comic_appearance 33,comic_appearance 34,comic_appearance 35
803,Marvel Zombies,Marvel Zombies (2005) #1,Marvel Zombies (2005) #2,Marvel Zombies (2005) #3,Marvel Zombies (2005) #4,Marvel Zombies (2005) #5,Marvel Zombies 2 (2007) #1,Marvel Zombies 2 (2007) #2,Marvel Zombies 2 (2007) #3,Marvel Zombies 2 (2007) #4,Marvel Zombies 2 (2007) #5,Marvel Zombies 5 (2010) #1,Marvel Zombies 5 (2010) #2,Marvel Zombies 5 (2010) #2 (SPOILER VARIANT),Marvel Zombies 5 (2010) #3,Marvel Zombies 5 (2010) #3 (HEROIC AGE VARIANT),Marvel Zombies 5 (2010) #4,Marvel Zombies 5 (2010) #5,Zombies Christmas Carol (2011) #1,Marvel Zombies Destroy! (2011) #1,Marvel Zombies Destroy! (2011) #2,,,,,,,,,,,,,,,
804,Marvex,Marvel Masterworks: Golden Age Daring Mystery Vol. 1 (Hardcover),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Mary Jane Watson,Spider-Man: 101 Ways to End the Clone Saga (1997) #1,Amazing Mary Jane (2019) #1,Amazing Mary Jane (2019) #2,Amazing Mary Jane (2019) #3,Amazing Mary Jane (2019) #4,Amazing Mary Jane (2019) #6,Amazing Spider-Man (1999) #1,The Amazing Spider-Man (2015) #15,The Amazing Spider-Man (1963) #334,The Amazing Spider-Man (1963) #336,The Amazing Spider-Man (1963) #337,The Amazing Spider-Man (1963) #338,The Amazing Spider-Man (1963) #339,The Amazing Spider-Man (1963) #378,The Amazing Spider-Man (1963) #379,The Amazing Spider-Man (1963) #380,The Amazing Spider-Man (1963) #394,The Amazing Spider-Man (1963) #395,The Amazing Spider-Man (1963) #396,The Amazing Spider-Man (1963) #397,,,,,,,,,,,,,,,
806,Mary Jane Watson (House of M),Amazing Spider-Man (1999) #515,Amazing Spider-Man (1999) #603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Mary Jane Watson (Ultimate),Ultimate Comics Spider-Man (2011) #4,Ultimate Comics Spider-Man (2009) #150,Ultimate Comics Spider-Man (2009) #156,Ultimate Comics Spider-Man (2009) #158,Ultimate Comics Spider-Man (2009) #160,Ultimate Fallout (2011) #1,Ultimate Fallout (2011) #1 (Diamond Variant),Ultimate Fallout (2011) #1 (Djurdjevic Variant),Ultimate Spider-Man (2000) #2,Ultimate Spider-Man (2000) #13,Ultimate Spider-Man (2000) #24,Ultimate Spider-Man (2000) #30,Ultimate Spider-Man (2000) #61,Ultimate Spider-Man (2000) #62,Ultimate Spider-Man (2000) #63,Ultimate Spider-Man (2000) #65,Ultimate Spider-Man (2000) #66,Ultimate Spider-Man (2000) #68,Ultimate Spider-Man (2000) #69,Ultimate Spider-Man (2000) #70,,,,,,,,,,,,,,,
808,Masked Marvel (Unrevealed),Franklin Richards: Lab Brat (Digest),Masked Marvel Digital Comic (2006) #1,Masked Marvel Digital Comic (2006) #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,Masque,Avengers (1998) #32,Avengers (1998) #33,Avengers (1998) #34,Avengers (1963) #393,Avengers (1963) #395,Avengers (1963) #398,Avengers (1963) #399,Avengers Assemble Vol. 3 (Hardcover),Black Widow (2019) #3,Iron Man (1968) #321,Iron Man (1968) #323,Iron Man (1968) #324,Uncanny X-Men (1963) #169,Uncanny X-Men (1963) #170,Uncanny X-Men (1963) #176,Uncanny X-Men (1963) #178,Uncanny X-Men (1963) #179,Uncanny X-Men (1963) #195,Uncanny X-Men (1963) #254,Uncanny X-Men (1963) #259,,,,,,,,,,,,,,,
810,Master Chief,Halo: Fall of Reach - Covenant (2010) #3,Halo: Fall of Reach - Invasion (2010) #1,Halo: Fall of Reach - Invasion (2010) #2,Halo: Uprising (2007) #1,Halo: Uprising (2007) #2,Halo: Uprising (2007) #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,Master Mold,Incredible Hulk Annual (1976) #7,New X-Men (Hardcover),New X-Men (2001) #114,New X-Men (2001) #115,Ultimate Fantastic Four/Ultimate X-Men Annual (2008) #1,Uncanny X-Men (1963),Uncanny X-Men (1963) #269,Uncanny X-Men (1963) #16,X-Men Visionaries: Jim Lee (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,
812,Mastermind,Amazing Adventures (1970) #13,Avengers Origins: Scarlet Witch & Quicksilver (2011) #1,Earth X (1999) #6,Earth X (1999) #7,EARTH X TPB [NEW PRINTING] (Trade Paperback),MARVEL MASTERWORKS: THE UNCANNY X-MEN VOL. 2 HC (Hardcover),Marvel Masterworks: The X-Men Vol. 1 (Hardcover),New Avengers (2004) #10,New Avengers Vol. 2: Sentry (Trade Paperback),New Avengers Vol.2: Sentry (2006),Uncanny X-Men (1963) #125,Uncanny X-Men (1963) #126,Uncanny X-Men (1963) #130,Uncanny X-Men (1963) #131,Uncanny X-Men (1963) #132,Uncanny X-Men (1963) #134,Uncanny X-Men (1963) #170,Uncanny X-Men (1963) #172,Uncanny X-Men (1963) #173,Uncanny X-Men (1963) #174,,,,,,,,,,,,,,,
813,Masters of Evil,Avengers (1996) #8,Avengers (1996) #9,Avengers (1963) #9,Avengers (1963) #222,Avengers (1963) #229,Avengers (1963) #272,Avengers (1963) #273,Avengers (1963) #274,Avengers (1963) #275,Avengers (1963) #276,Avengers (1963) #277,AVENGERS EPIC COLLECTION: MASTERS OF EVIL TPB (Trade Paperback),Doctor Doom and the Masters of Evil (2009) #1,Doctor Doom and the Masters of Evil (2009) #2,Doctor Doom and the Masters of Evil (2009) #3,Doctor Doom and the Masters of Evil (2009) #4,House of M: Masters of Evil (2009) #1,House of M: Masters of Evil (2009) #2,House of M: Masters of Evil (2009) #3,House of M: Masters of Evil (2009) #4,,,,,,,,,,,,,,,
814,Mathemanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Matsu'o Tsurayaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,Matthew Murdock,1602 (2003) #1,1602 (2003) #2,1602 (2003) #3,1602 (2003) #4,Captain America (2002) #19,Daredevil (2014) #0.1,Daredevil (2014) #1,Daredevil (2014) #2,Daredevil (2014) #3,Daredevil (2014) #4,Daredevil: Battlin' Jack Murdock (2007) #1,Daredevil: Battlin' Jack Murdock (2007) #2,Daredevil: Battlin' Jack Murdock (2007) #3,Daredevil: Battlin' Jack Murdock (2007) #4,Daredevil: Reborn (2010) #1,Daredevil: Reborn (2010) #2,Daredevil: Reborn (2010) #3,Daredevil: Reborn (2010) #4,Elektra (1996) #-1,Elektra (1996) #10,,,,,,,,,,,,,,,
817,Mattie Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Mauler,Alpha Flight (1983) #113,Daredevil (1964) #167,Invincible Iron Man (2008) #519,Invincible Iron Man (2008) #520,Iron Man (1968) #156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,Maverick (Chris Bradley),Reign Of X Vol. 4 (Trade Paperback),Weapon X (2002) #7,Weapon X (2002) #8,Weapon X (2002) #9,Weapon X (2002) #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,Maverick (Christoph Nord),Wolverine (2020) #10,Wolverine (2020) #22,Wolverine (2020) #23,Wolverine Origins (2006) #6,Wolverine Origins (2006) #7,Wolverine Origins (2006) #8,Wolverine: Origins Vol. 2 - Savior (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Maximus,Inhuman (2014) #1,Inhuman (2014) #2,Inhuman (2014) #3,Inhuman (2014) #4,Inhumans: Judgement Day (2018) #1,Inhumans: Once and Future Kings (2017) #1,Inhumans: Once and Future Kings (2017) #3,Inhumans: Once and Future Kings (2017) #4,Inhumans: Once and Future Kings (Trade Paperback),Marvel Universe Guardians of the Galaxy (2015) #22,Realm of Kings: Inhumans (2009) #4,Royals (2017) #6,Royals (2017) #9,Royals (2017) #12,Royals Vol. 2: Judgment Day (Trade Paperback),Ultimate Fantastic Four Annual (2005) #1,Ultimate Fantastic Four Vol. 4: Inhuman (Trade Paperback),Uncanny Inhumans (2015) #12,Uncanny Inhumans (2015) #13,Uncanny Inhumans (2015) #18,,,,,,,,,,,,,,,
822,May Parker,Amazing Spider-Man (1999) #1,The Amazing Spider-Man (1963) #379,The Amazing Spider-Man (1963) #380,The Amazing Spider-Man (1963) #394,The Amazing Spider-Man (1963) #398,Amazing Spider-Man (1999) #544,Amazing Spider-Man (1999) #600 (2ND PRINTING VARIANT),Amazing Spider-Man (1999) #608,Amazing Spider-Man (1999) #608 (DJURDJEVIC 70TH ANNIVERSARY VARIANT),Amazing Spider-Man (1999) #618,Amazing Spider-Man (1999) #621,Amazing Spider-Man (1999) #630,Amazing Spider-Man (1999) #630 (QUINONES VARIANT),Amazing Spider-Man (1999) #633,Amazing Spider-Man (1999) #633 (HEROIC AGE VARIANT),Amazing Spider-Man (1999) #639,Amazing Spider-Man (1999) #647 (MCNIVEN VARIANT),Amazing Spider-Man (1999) #648,Amazing Spider-Man (1999) #648 (2ND PRINTING VARIANT),Amazing Spider-Man (1999) #648 (CASELLI VARIANT),,,,,,,,,,,,,,,
823,Medusa,A-Force (2016) #6,A-Force (2016) #7,A-Force (2016) #8,A-Force (2016) #9,A-Force (2016) #10,Avengers (2010) #8,Avengers (2010) #9,Avengers (2010) #10,Avengers (2010) #11,Avengers (2010) #11 (CAPTAIN AMERICA 70TH ANNIVERSARY VARIANT),Avengers (1963) #83,Avengers (1963) #127,Avengers Academy (2010) #2 (2ND PRINTING VARIANT),Beyond! (Hardcover),Beyond! (2006) #1,Beyond! (2006) #2,Beyond! (2006) #3,Beyond! (2006) #4,Beyond! (2006) #5,Beyond! (2006) #6,,,,,,,,,,,,,,,
824,Meggan,Age of X-Man: The Amazing Nightcrawler (2019) #2,Captain Britain and Mi13 Annual (2009) #1,Captain Britain and MI: 13 (2008) #9,Excalibur (2019) #4,Excalibur (2019) #9,Excalibur (2019) #21,Excalibur (2019) #22,Excalibur (2019) #25,Excalibur Epic Collection: The Cross-Time Caper (Trade Paperback),Excalibur Visionaries: Alan Davis Vol. 3 TPB (Trade Paperback),House of M: Uncanny X-Men (Trade Paperback),Marvel Comics Presents (1988) #34,Sensational She-Hulk (1989) #26,Uncanny X-Force (2010) #21,Uncanny X-Force (2010) #23,Uncanny X-Men (1963) #462,Uncanny X-Men (1963) #463,Uncanny X-Men (1963) #464,Uncanny X-Men (1963) #465,Universe X (2000) #2,,,,,,,,,,,,,,,
825,Meltdown,Cable (1993) #73,Cable (1993) #78,Counter X Vol. 1 (Trade Paperback),Uncanny X-Men (1963) #379,Uncanny X-Men (1963) #388,Weapon X (2002) #11,Weapon X (2002) #12,X-Force (1991) #51,X-Force (1991) #52,X-Force (1991) #53,X-Force (1991) #54,X-Force (1991) #55,X-Force (1991) #57,X-Force (1991) #58,X-Force (1991) #59,X-Force (1991) #60,X-Force (1991) #61,X-Force (1991) #62,X-Force (1991) #63,X-Force (1991) #64,,,,,,,,,,,,,,,
826,Menace,Amazing Spider-Man (1999) #595,Amazing Spider-Man (1999) #595 (GRANOV VARIANT),Amazing Spider-Man (1999) #642,Amazing Spider-Man (1999) #643,Amazing Spider-Man (1999) #643 (SHS VARIANT),Amazing Spider-Man (1999) #643 (JIMENEZ VARIANT),Amazing Spider-Man (1999) #644,Amazing Spider-Man (1999) #644 (BACHALO VARIANT),Amazing Spider-Man (1999) #645,Amazing Spider-Man (1999) #645 (SPIDEY VS. VARIANT),Amazing Spider-Man (1999) #646,Amazing Spider-Man (1999) #646 (VAMPIRE VARIANT),Amazing Spider-Man (1999) #646 (RIVERA VARIANT),Amazing Spider-Man (1999) #647 (MCNIVEN VARIANT),Menace (1953) #1,Menace (1953) #2,Menace (1953) #3,Menace (1953) #4,Menace (1953) #5,Menace (1953) #6,,,,,,,,,,,,,,,
827,Mentallo,Astonishing X-Men (2004) #39,Marvel Two-in-One (1974) #26,Marvel Two-in-One (1974) #27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,Mentor,Eternals: Thanos Rises (2021) #1,War of Kings (2009) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Mephisto,Avengers (2018) #32,Avengers Forever (1998) #8,Avengers Forever (1998) #11,Avengers Legends Vol. I: Avengers Forever (Trade Paperback),Ben Reilly: Scarlet Spider (2017) #15,Ben Reilly: Scarlet Spider (2017) #16,Ben Reilly: Scarlet Spider (2017) #17,Black Panther (1998) #40,Captain America Comics (1941) #11,Captain America Comics (1941) #67,Damnation: Johnny Blaze - Ghost Rider (2018) #1,Daredevil (1998) #5,Daredevil (1964) #279,Daredevil (1964) #280,Daredevil (1964) #282,DAREDEVIL EPIC COLLECTION: HEART OF DARKNESS TPB (Trade Paperback),DAREDEVIL VISIONARIES: KEVIN SMITH TPB (Trade Paperback),Defenders (1972) #111,Doctor Strange (2015) #386,Doctor Strange (2015) #387,,,,,,,,,,,,,,,
830,Mephistopheles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Mercury,MARVEL MASTERWORKS: THE AMAZING SPIDER-MAN VOL. 8 HC (Hardcover),Marvel Super-Heroes (1967) #14,New Mutants (2003) #10,New Mutants Classic Vol. 2 (Trade Paperback),New X-Men (2004) #20,New X-Men (2004) #25,New X-Men (2004) #27,New X-Men (2004) #43,New X-Men (2004) #44,New X-Men (2004) #44 (Variant),New X-Men: Childhood's End Vol. 1 (Trade Paperback),New X-Men: Childhood's End Vol. 2 (Trade Paperback),New X-Men: Hellions (2005),New X-Men: Hellions (2005) #1,New X-Men: Hellions (2005) #3,New X-Men: Hellions (2005) #4,Runaways (2008) #10,Uncanny X-Men (1963) #517,Uncanny X-Men (1963) #542,Way of X (2021) #4,,,,,,,,,,,,,,,
832,Mesmero,Classic X-Men (1986) #17,Deadpool (1997) #57,Marvel Masterworks: The Amazing Spider-Man Vol. 20 (Hardcover),MARVEL MASTERWORKS: THE UNCANNY X-MEN VOL. 2 HC (Hardcover),The Amazing Spider-Man (1963) #207,Uncanny X-Men Omnibus Vol. 1 (Hardcover),Weapon X (2002) #1,Weapon X (2002) #2,Weapon X (2002) #4,Weapon X (2002) #5,Weapon X (2002) #7,Weapon X (2002) #8,Weapon X (2002) #9,Weapon X (2002) #10,Weapon X (2002) #12,WEAPON X VOL. 1: THE DRAFT TPB (Trade Paperback),Weapon X Vol. I (Trade Paperback),Weapon X: The Draft � Agent Zero (2002) #1,Weapon X: The Draft � Marrow (2002) #1,Weapon X: The Draft � Sauron (2002) #1,,,,,,,,,,,,,,,
833,Metal Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,Meteorite,Thunderbolts Classic Vol. 1 (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,MI: 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,Micro/Macro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Microbe,New Warriors (2005) #1,New Warriors (2005) #2,New Warriors (2005) #3,New Warriors (2005) #4,New Warriors (2005) #5,New Warriors (2005) #6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,Microchip,The Punisher (1987) #72,The Punisher (1987) #74,Punisher Epic Collection: Circle of Blood (Trade Paperback),Punisher War Journal (1988) #17,Punisher War Journal (1988) #18,Punisher War Journal (1988) #19,Punisher War Journal (1988) #27,Punisher War Journal (1988) #30,Punisher War Journal (1988) #46,Punisher War Journal (1988) #47,The Punisher: G-Force (1992) #1,The Punisher: Intruder (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,
839,Micromax,Avengers (1998) #46,AVENGERS: THE KANG DYNASTY TPB (Trade Paperback),X-Men Unlimited Infinity Comic (2021) #50,X-Men Unlimited Infinity Comic (2021) #51,X-Men Unlimited Infinity Comic (2021) #52,X-Men: Hellfire Gala Confessionals Infinity Comic (2022) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Midnight (Earth-811),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,Miek,Hulk (1999) #93,Hulk (1999) #96,Incredible Hulks (2010) #625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Mikhail Rasputin,Storm (1996) #2,Storm (1996) #3,Storm (1996) #4,X-Force (2019) #23,X-Men Origin: Colossus (2008) #1,X-Men: Alpha (1995) #1,X-Men: Colossus Bloodline (Trade Paperback),X-Men: Colossus Bloodline (2005) #3,X-Men: Colossus Bloodline (2005) #4,X-Men: Colossus Bloodline (2005) #5,,,,,,,,,,,,,,,,,,,,,,,,,
843,Millenium Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,Millie the Model,Love Unlimited Infinity Comic (2022) #13,Love Unlimited Infinity Comic (2022) #14,Love Unlimited Infinity Comic (2022) #15,Love Unlimited Infinity Comic (2022) #16,Love Unlimited Infinity Comic (2022) #17,Love Unlimited Infinity Comic (2022) #18,Millie the Model (1945) #33,Millie the Model (1945) #37,Millie the Model (1945) #38,Millie the Model (1945) #40,Millie the Model (1945) #43,Millie the Model (1945) #46,Millie the Model (1945) #163,Millie the Model (1945) #165,Millie the Model (1945) #171,Modeling with Millie (1963) #21,Modeling with Millie (1963) #22,Modeling with Millie (1963) #23,Modeling with Millie (1963) #24,Modeling with Millie (1963) #25,,,,,,,,,,,,,,,
845,Mimic,Excalibur (1988) #122,Excalibur (1988) #123,Excalibur (1988) #124,Excalibur (1988) #125,Exiles (2001) #7,Exiles (2001) #8,Exiles (2001) #9,Exiles (2001) #10,Exiles (2001) #11,Exiles (2001) #14,Exiles (2001) #15,Exiles (2001) #17,Exiles Vol. 3: Out of Time (Trade Paperback),Exiles Vol. II: A World Apart (Trade Paperback),Marvel Masterworks: The X-Men Vol. 2 (Trade Paperback),Marvel Masterworks: The X-Men Vol. 3 DM Variant TPB (Trade Paperback),Marvel Masterworks: The X-Men Vol. 3 TPB (Trade Paperback),Marvel Masterworks: The X-Men Vol. III - 2nd Edition (1st) (Trade Paperback),Uncanny X-Men (1963) #69,Uncanny X-Men (1963) #75,,,,,,,,,,,,,,,
846,Mindworm,Spectacular Spider-Man (2003) #22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Miracleman,Miracleman (2022),Miracleman By Gaiman & Buckingham Book 1: The Golden Age  (Trade Paperback),Miracleman Omnibus (Hardcover),Miracleman: Marvel Tales (2023) #1,Who Is...? Miracleman Infinity Comic (2023) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,Miss America,All-Winners Comics (1941) #19,All-Winners Comics (1941) #21,Marvel Mystery Comics (1939) #49,Marvel Mystery Comics (1939) #50,Marvel Mystery Comics (1939) #51,Marvel Mystery Comics (1939) #52,Marvel Mystery Comics (1939) #53,Marvel Mystery Comics (1939) #54,Marvel Mystery Comics (1939) #55,Marvel Mystery Comics (1939) #56,Marvel Mystery Comics (1939) #57,Marvel Mystery Comics (1939) #58,Marvel Mystery Comics (1939) #59,Marvel Mystery Comics (1939) #60,Marvel Mystery Comics (1939) #61,Marvel Mystery Comics (1939) #62,Marvel Mystery Comics (1939) #63,Marvel Mystery Comics (1939) #64,Marvel Mystery Comics (1939) #65,Marvel Mystery Comics (1939) #66,,,,,,,,,,,,,,,
849,Mister Fear,Daredevil (1998) #105,Daredevil (1964) #373,Daredevil (1964) #374,Daredevil Saga (2008) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Mister Sinister,Age of Apocalypse: The Chosen (1995) #1,A+X (2012) #5,Cable (1993) #6,Cable (1993) #7,Cable (1993) #64,Cable & Deadpool (2004) #17,Cable & Deadpool Vol. 3: The Human Race (Trade Paperback),Cable Annual (1999) #1,Cable/Deadpool Vol. 3: The Human Race (Trade Paperback),Excalibur (1988) #74,Exiles (2001) #7,Exiles Vol. II: A World Apart (Trade Paperback),Further Adventures of Cyclops & Phoenix (1996) #1,Further Adventures of Cyclops & Phoenix (1996) #3,Further Adventures of Cyclops & Phoenix (1996) #4,Hellions (2020) #1,Hellions (2020) #2,Hellions (2020) #5,Hellions (2020) #6,Hellions (2020) #7,,,,,,,,,,,,,,,
851,Mister Sinister (Deadpool),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Mister Sinister (House of M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Mister Sinister (Ultimate),Ultimate X-Men (2001) #91,Ultimate X-Men (2001) #92,Ultimate X-Men (2001) #93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Misty Knight,Absolute Carnage: Lethal Protectors (2019) #1,Absolute Carnage: Lethal Protectors (2019) #2,Absolute Carnage: Lethal Protectors (2019) #3,The Amazing Spider-Man (2018) #78.1,The Amazing Spider-Man (2018) #92.1,Barnes & Noble Black Panther: Who Is the Black Panther? (Trade Paperback),Black Panther (2016) #7,Black Panther (2016) #8,Black Panther (2018) #24,Black Panther (2018) #25,Black Panther and the Crew (2017) #1,Black Panther and the Crew (2017) #2,Black Panther and the Crew (2017) #3,Black Panther and the Crew (2017) #5,Black Panther and the Crew (2017) #6,Black Panther and the Crew: We Are the Streets (Trade Paperback),Cage! (2016) #3,Captain America (2018) #11,Captain America (2018) #16,Captain America (2018) #22,,,,,,,,,,,,,,,
855,Mockingbird,2020 Force Works (2020) #1,2020 Force Works (2020) #2,Amazing Spider-Man (1999) #653,Amazing Spider-Man: Worldwide Vol. 7 (Trade Paperback),Astonishing Tales (1970) #19,Avengers Academy (2010) #1 (DJURDJEVIC VARIANT),Avengers Annual (1967) #16,Avengers Vs. Pet Avengers (2010) #3,AVENGERS: FIRST TO LAST PREMIERE HC (Hardcover),AVENGERS: FIRST TO LAST PREMIERE HC [DM ONLY] (Hardcover),Black Panther and the Agents of Wakanda (2019) #7,Captain America (2018) #11,Captain America: Steve Rogers (2016) #25,Captain America (1968) #316,Captain America (2004) #611,Captain America: Sam Wilson (2015) #24,Fear Itself (2010) #1,Fear Itself (2010) #1 (Blank Cover Variant),Fear Itself (2010) #1 (Advanced Screening Variant),Fear Itself (2010) #1 (Immomen Variant),,,,,,,,,,,,,,,
856,Moira MacTaggert,Chaos War: X-Men (2010) #1,Chaos War: X-Men (2010) #2,CLANDESTINE CLASSIC PREMIERE HC (Hardcover),Fallen Angels (1987) #2,Inferno (2021) #1,Inferno (2021) #2,Inferno (2021) #3,Inferno (2021) #4,New Mutants (2009) #24,New Mutants (1983) #44,Uncanny X-Men (1963) #300,Uncanny X-Men (1963) #303,Uncanny X-Men (1963) #389,Weapon X (1995) #1,Weapon X (1995) #2,Weapon X (1995) #3,Weapon X (1995) #4,X Deaths of Wolverine (2022) #2,X Deaths of Wolverine (2022) #3,X Deaths of Wolverine (2022) #4,,,,,,,,,,,,,,,
857,Moira MacTaggert (Ultimate),Ultimate X-Men (2001) #27,Ultimate X-Men (2001) #97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Mojo,ACTS OF VENGEANCE CROSSOVERS OMNIBUS (Hardcover),ACTS OF VENGEANCE CROSSOVERS OMNIBUS (DM Only) (Hardcover),Astonishing Spider-Man & Wolverine (2010) #4,Astonishing Spider-Man & Wolverine (2010) #5,Astonishing Spider-Man & Wolverine (2010) #6,Astonishing Tales (2009) #1,Astonishing Tales (2009) #2,Astonishing Tales (2009) #3,Astonishing Tales (2009) #4,Astonishing Tales (2009) #5,Excalibur Classic Vol. 2: Two-Edged Sword (Trade Paperback),Excalibur: Mojo Mayhem (1989) #1,Longshot (1985) #3,Longshot (1985) #4,Longshot (1985) #5,Longshot (1985) #6,Marvel Comics Presents (1988) #89,Moon Girl and Devil Dinosaur (2015) #24,Mr. and Mrs. X (2018) #7,New Mutants Classic Vol. 6 (Trade Paperback),,,,,,,,,,,,,,,
859,Mole Man,Alpha Flight (2004) #4,Amazing Spider-Man: Renew Your Vows (2016) #4,Amazing Spider-Man: Renew Your Vows Vol. 1: Brawl In The Family (Trade Paperback),Avengers (1963) #12,Avenging Spider-Man (2011) #1,Avenging Spider-Man (2011) #1 (J. Scott Campbell Variant),Avenging Spider-Man (2011) #1 (Blank Cover Variant),Avenging Spider-Man (2011) #1 (Quesada Variant ),Avenging Spider-Man (2011) #1 (Quesada Sketch Variant),Avenging Spider-Man (2011) #1 (Humberto Ramos Variant),Avenging Spider-Man (2011) #2,Avenging Spider-Man (2011) #3,Black Widow & the Marvel Girls (2009) #4,Captain America (1968) #136,Fantastic Four (1998) #0.5,Fantastic Four (1996) #2,Fantastic Four (1996) #12,Fantastic Four (1961) #31,Fantastic Four (1961) #127,Fantastic Four (1961) #263,,,,,,,,,,,,,,,
860,Molecule Man,Avengers (1963) #215,Avengers (1963) #216,Avengers (1963) #266,Future Foundation (2019) #3,Iron Man Annual (1976) #3,Marvel Masterworks: The Invincible Iron Man Vol. 11 (Hardcover),Marvels: Eye of the Camera (2008) #4,New Avengers (2013) #1,New Avengers (2013) #33,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Molly Hayes,Civil War: Young Avengers & Runaways (2006) #1,Civil War: Young Avengers & Runaways (2006) #2,Civil War: Young Avengers & Runaways (2006) #3,Civil War: Young Avengers & Runaways (2006) #4,Runaways (2005) #1,Runaways (2017) #2,Runaways (2008) #10,Runaways (2005) #18,Runaways (2005) #21,Runaways (2005) #27,Runaways by Rainbow Rowell Vol. 1: Find Your Way Home (Trade Paperback),Runaways Vol. 10: Rock Zombies (Trade Paperback),RUNAWAYS VOL. 4: TRUE BELIEVERS DIGEST (Digest),Runaways Vol. 7: Live Fast (Digest),Runaways Vol. 9: Dead Wrong (Trade Paperback),Uncanny X-Men (2013) #12,Uncanny X-Men (2013) #13,,,,,,,,,,,,,,,,,,
862,Molly Von Richtofen,Punisher: War Zone (2008) #5,Punisher: War Zone (2008) #6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Molten Man,Punisher War Journal (2006) #2,Punisher War Journal Vol. 1: Civil War (Trade Paperback),The Amazing Spider-Man (1963) #35,The Amazing Spider-Man (1963) #132,The Amazing Spider-Man (1963) #412,Amazing Spider-Man (1999) #581,Amazing Spider-Man (1999) #582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Mongoose,Thor (1966) #391,Thor Epic Collection: In Mortal Flesh (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Mongu (Unrevealed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Monster Badoon,Guardians of the Galaxy (1990) #30,Guardians of the Galaxy (1990) #33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
